frame,elapsed_time_s_,neck_x,neck_y,neck_c,spine_hip_x,spine_hip_y,spine_hip_c,r_hip_x,r_hip_y,r_hip_c,r_knee_x,r_knee_y,r_knee_c,r_ankle_x,r_ankle_y,r_ankle_c,r_heel_x,r_heel_y,r_heel_c,r_bigtoe_x,r_bigtoe_y,r_bigtoe_c,r_smalltoe_x,r_smalltoe_y,r_smalltoe_c,l_hip_x,l_hip_y,l_hip_c,l_knee_x,l_knee_y,l_knee_c,l_ankle_x,l_ankle_y,l_ankle_c,l_heel_x,l_heel_y,l_heel_c,l_bigtoe_x,l_bigtoe_y,l_bigtoe_c,l_smalltoe_x,l_smalltoe_y,l_smalltoe_c,switch,badFlag
46,1.84,535.039,159.087,0.790151,533.583,236.925,0.770161,523.372,235.472,0.74876,501.271,288.361,0.888098,499.877,347.033,0.860521,507.178,354.451,0.750806,476.294,347.14,0.78315,477.809,345.648,0.724165,539.495,236.965,0.717761,543.822,298.672,0.847125,557.037,357.345,0.863592,561.488,363.245,0.819786,524.796,361.792,0.839958,533.61,367.662,0.834716,0,0
47,1.88,526.249,159.158,0.761683,524.817,238.367,0.746827,520.389,236.946,0.72249,498.299,288.401,0.878462,482.178,347.076,0.814033,486.53,357.372,0.804029,452.865,341.221,0.635625,457.224,338.283,0.577748,533.599,238.388,0.76116,536.592,300.037,0.837474,557.034,357.331,0.850049,561.522,363.232,0.796209,524.775,361.792,0.819583,533.591,367.679,0.820526,0,0
48,1.92,521.815,160.615,0.713012,518.9,239.866,0.763884,511.514,239.837,0.780055,488.156,289.834,0.85015,466.055,345.618,0.823789,470.428,355.919,0.74659,441.043,335.361,0.751999,442.587,335.288,0.698511,523.354,239.902,0.783202,533.669,300.091,0.884396,555.657,357.322,0.843104,561.485,361.781,0.81268,523.379,363.244,0.800483,533.556,369.06,0.804788,0,0
49,1.96,511.604,163.525,0.726544,510.148,241.366,0.787319,501.318,241.369,0.723008,480.726,292.735,0.775145,457.216,347.063,0.807335,460.168,357.399,0.765121,429.348,335.372,0.739564,433.715,335.313,0.677631,517.438,241.383,0.735496,530.649,301.549,0.816488,555.601,357.32,0.82735,560.059,360.342,0.827932,523.377,364.706,0.798049,533.552,369.083,0.811995,0,0
50,2,502.77,166.435,0.69863,499.868,241.411,0.763658,493.969,241.394,0.700732,473.372,294.22,0.818853,452.868,348.582,0.838325,455.772,358.857,0.776954,427.915,344.121,0.758001,430.812,341.237,0.706548,510.031,242.819,0.74634,521.888,301.587,0.867942,554.187,354.444,0.802827,560.053,358.788,0.861022,524.825,363.267,0.795828,533.65,367.677,0.809387,0,0
51,2.04,495.393,164.966,0.717972,489.596,241.38,0.736339,486.548,241.338,0.742957,464.558,295.699,0.856155,451.38,351.474,0.832,454.283,358.891,0.829148,424.897,347.165,0.739083,427.832,347.06,0.754112,498.364,242.811,0.749479,511.581,301.622,0.847536,548.346,351.489,0.797469,558.596,355.904,0.889582,524.773,366.177,0.801068,533.61,369.041,0.823054,0,0
52,2.08,488.149,163.541,0.670379,483.687,244.286,0.68513,476.396,244.277,0.659939,455.807,295.713,0.797484,449.91,351.494,0.810982,452.859,358.897,0.838877,420.551,357.315,0.790222,424.923,354.393,0.723913,486.668,245.763,0.7266,499.789,304.483,0.845558,545.357,347.14,0.874815,555.65,348.594,0.774472,523.337,367.606,0.788754,533.576,367.652,0.773652,0,0
53,2.12,482.181,163.508,0.63901,474.871,239.92,0.757159,470.436,239.885,0.668218,451.349,294.234,0.847887,448.448,354.413,0.76459,452.83,360.283,0.791866,420.508,357.391,0.802641,424.899,355.89,0.731675,476.394,241.339,0.769086,485.136,305.942,0.80981,535.13,344.145,0.823115,546.779,342.7,0.786102,521.877,366.171,0.806472,532.112,361.817,0.737495,0,0
54,2.16,473.395,160.593,0.662416,464.655,238.374,0.731952,463.127,236.943,0.695705,448.411,295.665,0.806222,448.387,355.861,0.795876,452.804,360.304,0.863141,419.08,357.398,0.845624,423.475,355.9,0.758725,468.975,238.395,0.729494,467.548,303.01,0.791664,523.291,336.87,0.836331,535.017,335.371,0.794471,511.638,366.193,0.84509,521.836,361.765,0.794575,0,0
55,2.2,466.024,159.147,0.721944,461.661,232.533,0.696408,460.163,231.085,0.644036,445.499,297.17,0.767464,448.398,355.847,0.787873,452.8,360.277,0.845492,419.104,357.399,0.837691,424.929,355.919,0.745346,463.089,234.011,0.763692,451.384,300.093,0.83876,510.031,335.384,0.832997,518.912,333.922,0.762954,499.833,363.246,0.710066,507.172,360.297,0.685144,0,0
56,2.24,460.178,159.089,0.685284,455.769,231.097,0.681186,454.301,231.056,0.629988,441.148,298.645,0.823859,448.404,355.866,0.782944,452.816,360.312,0.854282,419.09,357.411,0.84963,424.909,355.925,0.745616,457.222,232.569,0.717304,439.659,300.074,0.88857,489.551,338.288,0.782311,499.854,336.806,0.744452,476.352,367.622,0.703442,485.094,363.234,0.687573,0,0
57,2.28,452.77,157.693,0.752924,449.906,231.047,0.713918,451.356,229.622,0.67449,441.157,295.66,0.782456,445.471,352.957,0.784954,451.315,358.87,0.763741,419.085,357.379,0.884969,424.92,355.891,0.74159,448.407,231.107,0.697467,427.864,295.668,0.820813,473.34,339.732,0.777738,482.198,342.664,0.71853,454.297,361.784,0.673334,461.634,360.299,0.700695,0,0
58,2.32,442.571,157.701,0.705287,444.004,229.603,0.744115,451.286,229.557,0.718859,441.033,294.229,0.839681,449.856,350.032,0.737126,455.781,358.812,0.467415,421.968,357.349,0.654962,424.925,355.861,0.568087,439.669,229.656,0.775165,416.084,291.323,0.83559,451.289,345.596,0.745287,458.698,348.558,0.586133,427.891,358.805,0.593605,435.211,358.904,0.552324,0,0
59,2.36,439.533,157.7,0.748887,438.168,229.588,0.75624,441.105,229.556,0.707073,439.671,291.299,0.828878,449.842,350.011,0.787902,452.835,357.396,0.818688,423.441,360.332,0.0978309,0,0,0,430.856,229.621,0.715187,405.787,289.809,0.887274,429.297,347.141,0.836122,439.546,354.444,0.685898,404.333,364.703,0.776874,408.78,367.597,0.795127,0,0
60,2.4,429.344,157.693,0.808416,429.386,231.055,0.776378,436.693,229.645,0.711335,439.549,291.311,0.81899,446.962,352.987,0.771836,452.78,360.292,0.775117,426.392,355.923,0.519958,429.28,354.391,0.438025,427.789,231.08,0.755477,395.562,289.808,0.861954,405.828,355.907,0.845428,414.606,360.323,0.788753,379.366,360.314,0.768863,383.817,366.169,0.831167,0,0
61,2.44,420.544,159.18,0.738431,424.905,232.572,0.730465,429.287,232.566,0.718669,436.639,295.683,0.790853,448.391,351.486,0.768833,452.82,358.88,0.78817,417.616,357.399,0.817985,424.894,355.919,0.703545,417.607,233.999,0.747809,392.556,291.298,0.846206,382.394,357.314,0.853055,391.109,363.267,0.770656,357.298,357.316,0.825506,360.311,360.284,0.837114,0,0
62,2.48,416.134,159.176,0.783766,417.549,232.571,0.775481,423.443,232.549,0.695144,430.775,297.148,0.832957,446.94,351.516,0.763754,452.807,358.875,0.783218,419.055,357.395,0.825615,424.901,355.918,0.719967,413.169,233.986,0.726466,383.786,295.655,0.822704,369.054,352.973,0.821593,370.584,360.367,0.819646,336.841,347.108,0.832633,345.557,354.449,0.825554,0,0
