frame,mocap_frame,mocap_time,CLAV_x,CLAV_y,LASI_x,LASI_y,RASI_x,RASI_y,LKNE_x,LKNE_y,LANK_x,LANK_y,LHEE_x,LHEE_y,LTOE_x,LTOE_y,RKNE_x,RKNE_y,RANK_x,RANK_y,RHEE_x,RHEE_y,RTOE_x,RTOE_y,SPINEHIP_x,SPINEHIP_y
56,1000,9.99,544.491116040062,162.902359705909,542.022624339444,224.030772414143,545.46578603743,224.151658555988,535.489912594571,297.833590706335,537.340070154206,355.818286658193,545.274322890816,357.328276120795,509.098400620691,356.908750992137,551.67097356435,292.816080745429,600.614625915113,326.345295970817,604.942325031729,320.15802240071,590.200699450851,351.44396491414,543.808231663778,224.093419609278
57,1004,10.03,536.844831047862,161.20309446468,535.052124195269,222.868721855596,538.307153841584,221.922653206329,532.958485222885,298.095572658872,537.109397415104,355.642215406979,545.160466094743,357.028661763142,509.077550022445,357.03637777871,537.560938060301,289.648933965902,583.601054215722,327.148938865409,588.539227264103,322.658662957632,568.172816660249,349.466786581127,536.740196170171,222.378059275151
58,1008,10.07,529.281170677717,159.831667661069,528.275495097398,222.151694482726,531.306841550483,219.922779974922,530.845313787225,298.33338438064,536.860640333733,355.325351735631,545.052746064641,356.732287196954,509.052645434428,357.031499850397,524.381441545265,286.40783217278,564.116294641862,330.278126191116,569.833539231942,327.683305098885,544.078433593385,348.324649960068,529.847695823777,220.995659788573
59,1012,10.11,521.798191679853,159.116880485831,521.584780882569,221.87345595842,524.202925979277,218.647471403735,528.548405772075,298.415641029739,536.710240201109,355.029600871013,544.875403267456,356.387757395296,509.0433685979,356.998634394885,512.515044566515,284.013207684508,542.535229518817,334.570728776151,548.91889770357,333.653752853629,518.952833528808,347.483763922499,522.942765581941,220.200200001631
60,1016,10.15,514.356088146237,159.120839491586,514.9506405594,222.080241084668,517.138974811424,218.204705292034,525.969960929472,298.65785703562,536.507775035753,354.844393748121,544.836093116944,356.031492145308,509.006767557549,356.941920482201,501.979791134067,282.856223150503,519.491237257104,338.632179065885,526.203943590866,339.472196428359,493.682732784345,345.991037186812,516.085693917248,220.070084967169
61,1020,10.19,506.912101224406,159.750055820463,508.192459224958,222.757997657152,509.882925092581,218.781055171706,523.410645563969,299.084750965816,536.319570022776,354.691273466367,544.714699274901,355.655431007646,509.005011647177,356.926244906264,492.741543505529,283.366833340918,496.053068269933,341.567945594091,502.691786900329,344.001024953993,469.293305628014,342.821603624027,509.069364445487,220.69504237163
62,1024,10.23,499.355676935491,160.936357699162,501.306402726442,223.796594903903,502.25333713151,220.221899065442,520.956161634553,299.627868440351,536.177142685918,354.607080963911,544.61130620191,355.307418414315,508.996839103189,356.960488267981,484.632213053282,285.535602358391,473.263964469509,342.921754343868,479.597599058078,346.71333734746,446.897292126494,338.317137558994,501.797688057011,221.942019025715
63,1028,10.27,491.576594096593,162.678290467411,494.202052190291,225.247110880054,493.999716879309,222.20516095987,518.371238059272,300.321539315726,536.051416919738,354.583580649676,544.539836029814,354.982313003769,509.013761887592,357.034250248532,477.015547912234,288.472816360431,452.998658911026,342.517587453489,459.002234963888,347.289342667877,428.050508428807,332.719494530645,494.097080233218,223.668757733974
64,1032,10.31,483.531326101389,164.650124707329,486.842738104435,227.118367338532,485.146300706437,224.38081911039,514.743543822083,301.145509636789,535.780599771545,354.394821183731,544.423360301772,354.437133298418,508.998017110674,357.134447645389,468.86701120021,290.715477054353,437.516099906058,341.762874447847,443.529680273165,347.243521069578,414.489338164664,328.319941438812,485.962447120935,225.697795343285
65,1036,10.35,475.017745890681,166.345660119297,478.848563162317,229.058374656278,476.193271242146,225.61975249031,510.090797424701,301.656753539828,535.123791635188,353.619407465357,544.088053486633,353.194899121097,508.845694549453,357.264905354114,459.362705560635,291.72079103015,428.752282254027,344.039943634639,435.085012814759,349.186810680495,405.696309465203,330.554724178149,477.470862561953,227.274185612471
