frame,elapsed_time(s),spine-hip_x,spine-hip_y,spine-hip_c,r-hip_x,r-hip_y,r-hip_c,r-knee_x,r-knee_y,r-knee_c,r-ankle_x,r-ankle_y,r-ankle_c,r-heel_x,r-heel_y,r-heel_c,r-bigtoe_x,r-bigtoe_y,r-bigtoe_c,r-smalltoe_x,r-smalltoe_y,r-smalltoe_c,l-hip_x,l-hip_y,l-hip_c,l-knee_x,l-knee_y,l-knee_c,l-ankle_x,l-ankle_y,l-ankle_c,l-heel_x,l-heel_y,l-heel_c,l-bigtoe_x,l-bigtoe_y,l-bigtoe_c,l-smalltoe_x,l-smalltoe_y,l-smalltoe_c
48,1.920000000000001,632.846,247.438,0.882437,608.777,238.401,0.829601,602.774,235.427,0.769982,626.785,298.649,0.879116,626.807,352.864,0.711051,545.596,358.879,0.819148,614.929,361.855,0.778818,647.873,346.915,0.869667,611.761,241.335,0.899347,581.714,298.565,0.88604,524.51,349.775,0.814266,608.673,129.883,0.88905,521.528,346.63,0.767879
49,1.960000000000001,617.907,244.457,0.835578,599.714,232.446,0.820117,599.685,232.35,0.827405,617.883,298.533,0.8888,629.798,352.865,0.704056,542.636,358.866,0.849811,617.836,361.838,0.759338,644.854,346.873,0.878683,602.753,235.376,0.821095,569.727,295.642,0.881252,518.579,349.871,0.838544,593.816,129.971,0.891702,518.401,346.754,0.822161
50,2.000000000000001,611.671,250.376,0.921504,587.707,238.429,0.855074,587.657,238.342,0.819217,611.876,298.545,0.941006,629.8,352.85,0.69928,539.593,358.891,0.833391,617.872,361.845,0.759264,641.961,346.749,0.876698,587.773,241.351,0.87174,563.489,298.526,0.917238,515.456,352.884,0.806336,590.566,129.991,0.923261,512.411,349.693,0.81011
51,2.040000000000001,593.741,250.423,0.915747,581.677,238.387,0.805679,584.565,235.433,0.789861,602.681,298.527,0.862251,620.825,352.839,0.755815,539.533,361.86,0.860011,614.868,361.819,0.826323,638.765,343.689,0.883428,581.621,241.34,0.810444,548.61,295.639,0.867559,512.417,352.822,0.764821,581.692,129.9,0.873451,509.324,349.658,0.747486
52,2.080000000000001,587.55,247.403,0.882303,566.582,238.43,0.858969,566.596,235.433,0.85345,587.578,298.577,0.957373,617.811,352.859,0.79191,539.584,361.818,0.876257,614.744,361.796,0.879894,632.748,331.729,0.861594,566.606,241.392,0.858333,542.442,295.629,0.92415,515.304,358.814,0.744055,566.786,129.81,0.876044,509.32,349.907,0.725592
53,2.120000000000001,566.746,247.34,0.936811,563.477,235.341,0.850816,563.431,232.372,0.814425,569.633,298.576,0.929482,611.876,355.801,0.794731,539.594,358.901,0.847996,611.77,361.856,0.872589,614.85,325.79,0.954679,563.541,235.441,0.915154,539.435,295.585,0.921611,512.44,358.869,0.718715,563.584,126.933,0.886997,506.36,349.943,0.700895
54,2.160000000000001,560.589,244.444,0.883815,551.61,232.359,0.809611,548.511,229.435,0.833556,545.541,298.506,0.881468,590.791,349.75,0.789491,539.446,355.845,0.777616,590.682,352.856,0.866635,599.765,322.841,0.89705,560.472,235.365,0.841806,539.357,298.496,0.914991,512.396,355.899,0.690208,554.516,126.843,0.812314,506.381,349.844,0.673498
55,2.200000000000001,542.498,235.455,0.915172,548.546,229.411,0.843797,548.508,229.345,0.845495,539.468,295.563,0.895336,572.689,349.696,0.607461,542.48,355.83,0.779328,566.688,352.753,0.707663,587.499,325.739,0.919031,548.612,229.484,0.856743,536.532,298.467,0.906738,515.352,358.855,0.73283,542.679,120.925,0.870397,512.332,349.876,0.719464
56,2.240000000000001,533.506,235.445,0.878579,542.489,229.272,0.885432,542.462,226.451,0.836572,521.552,286.577,0.833833,554.508,343.705,0.301605,542.556,352.893,0.912728,542.539,346.734,0.376968,563.644,328.736,0.914936,542.51,229.306,0.943189,533.462,292.632,0.815302,515.48,361.799,0.858937,539.402,115.006,0.867325,512.368,352.846,0.863352
57,2.280000000000001,518.341,232.298,0.944842,539.457,226.275,0.866699,539.567,226.212,0.840366,518.575,280.67,0.831633,515.24,346.772,0.450063,545.481,349.913,0.833342,509.379,349.75,0.490212,539.435,340.815,0.802592,539.37,226.315,0.909871,518.499,286.564,0.827821,518.366,361.797,0.800347,533.438,117.949,0.806496,512.315,352.859,0.790354
58,2.320000000000001,509.438,232.404,0.877786,530.429,226.332,0.821445,524.517,226.301,0.820596,497.452,277.651,0.89505,494.459,346.686,0.61382,542.392,352.929,0.912455,494.261,346.812,0.705548,518.471,340.785,0.839031,536.369,226.375,0.880419,521.399,289.514,0.850341,515.286,355.806,0.814865,521.377,117.946,0.864794,500.407,349.92,0.841543
59,2.360000000000001,491.468,229.404,0.955479,518.427,226.333,0.869822,518.296,226.291,0.854049,491.455,277.628,0.947144,476.251,337.76,0.664226,539.624,355.892,0.877396,470.3,343.725,0.786505,494.423,340.739,0.867092,518.583,226.345,0.921675,521.432,295.476,0.884648,515.502,358.879,0.780854,515.306,117.991,0.862562,512.304,352.817,0.796804
60,2.4000000000000012,488.194,229.315,0.907402,515.399,226.428,0.860422,515.451,226.393,0.840237,494.311,277.708,0.750704,455.206,340.781,0.403033,539.559,358.839,0.660508,449.183,343.723,0.468555,470.076,343.755,0.65662,515.411,229.25,0.910808,515.502,292.575,0.739819,512.301,364.83,0.576212,503.421,123.903,0.802908,503.329,352.916,0.540468
61,2.4400000000000013,467.236,229.528,0.945095,509.349,229.232,0.828063,500.432,226.45,0.838679,479.263,280.586,0.850654,431.117,328.706,0.72769,542.472,355.852,0.871348,422.214,331.755,0.795115,452.138,340.688,0.823376,512.454,229.271,0.892699,518.418,292.624,0.883053,515.408,367.773,0.798019,494.456,126.857,0.88531,509.355,352.931,0.734029
62,2.4800000000000013,464.085,232.304,0.881674,497.323,229.355,0.82847,497.353,229.331,0.850071,470.156,286.604,0.865175,418.928,325.809,0.747695,542.443,355.784,0.867146,406.99,328.697,0.758484,440.041,343.676,0.83601,497.349,229.354,0.869351,515.502,298.471,0.904004,515.323,364.877,0.79288,491.241,126.882,0.902957,509.351,352.858,0.744973
63,2.5200000000000014,446.202,232.45,0.922663,491.254,232.469,0.827142,491.163,232.416,0.829819,461.174,292.588,0.822852,413.011,328.804,0.704823,542.417,352.868,0.897138,401.046,331.742,0.746355,425.077,346.643,0.884596,491.377,235.352,0.89332,515.312,298.64,0.91636,518.306,364.851,0.840343,482.258,129.861,0.873072,512.355,352.907,0.792004
64,2.5600000000000014,443.069,238.385,0.884309,482.325,232.307,0.79527,479.28,229.457,0.82309,449.184,292.602,0.847798,406.982,334.799,0.709416,539.595,352.872,0.869426,398.067,340.731,0.79393,422.222,346.751,0.926218,485.34,232.348,0.836827,509.316,298.494,0.841414,515.52,364.864,0.819601,470.365,129.937,0.954842,512.344,355.776,0.761023
65,2.6000000000000014,437.153,238.427,0.820177,467.358,235.392,0.837631,467.253,232.451,0.842413,443.006,292.521,0.840182,397.99,346.645,0.767898,539.554,349.813,0.892929,394.877,346.845,0.769068,419.107,346.862,0.920528,470.206,235.404,0.865331,494.402,298.554,0.903428,518.349,364.806,0.831323,464.268,129.931,0.899448,512.385,355.821,0.79427
66,2.6400000000000015,431.098,241.342,0.807662,461.228,232.382,0.795477,461.171,232.309,0.799702,431.134,292.53,0.780252,394.956,346.848,0.676405,536.468,346.828,0.810976,388.896,349.746,0.684762,418.899,349.711,0.830876,464.144,232.411,0.834609,488.168,298.498,0.834617,509.437,364.858,0.718929,449.206,129.846,0.874041,500.331,361.81,0.686612
67,2.6800000000000015,425.043,241.411,0.877335,449.212,232.34,0.884139,464.115,232.303,0.858679,470.277,298.676,0.970464,509.331,358.812,0.667377,419.011,352.863,0.89387,497.41,367.809,0.767343,518.392,346.682,0.93076,446.029,232.362,0.905689,421.997,292.619,0.888829,394.902,349.904,0.832645,443.246,126.919,0.910902,391.964,349.662,0.749298
68,2.7200000000000015,422.094,238.343,0.900688,443.246,229.45,0.902829,446.288,229.398,0.865426,458.134,298.676,0.909702,497.411,358.839,0.70518,419.034,355.781,0.842287,494.298,367.757,0.813157,512.308,340.7,0.856022,442.961,229.461,0.863862,418.958,295.488,0.854248,394.888,352.848,0.773132,440.111,126.918,0.868104,391.876,349.798,0.715488
